ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
LON,29.63,30.06,30.03,30.07,30.11,29.76,29.65,29.63,29.7,29.38,29.6,29.55,29.53,29.69,29.53,29.45,29.7,29.71,29.68,29.8,29.68,29.68,29.78,29.66,29.85,29.36,29.51,29.61,29.63,29.6,29.5,29.58,29.52,30,30.05,30.05,29.95,29.95,29.68,29.67,29.78,29.87,29.78,29.81,29.86,29.75,29.55,29.61,29.56,29.51,29.5,29.83,29.76,29.75,29.71,29.93,30.16,30.05,30.43,30.35,30.29,30.5,30.5,30.43
LAT,-1.95,-1.96,-2.01,-1.89,-1.95,-2.35,-2.35,-2.46,-2.52,-2.38,-2.43,-2.48,-2.48,-2.16,-2.33,-2.36,-2.21,-2.16,-2.16,-2.05,-1.83,-1.76,-2.08,-1.95,-1.9,-2.24,-1.58,-1.61,-1.95,-1.75,-1.76,-2.05,-1.91,-1.76,-1.81,-1.8,-1.62,-1.61,-1.56,-1.68,-1.73,-1.72,-1.6,-1.81,-1.73,-1.53,-1.56,-1.48,-1.45,-1.46,-1.5,-1.41,-1.55,-1.46,-1.43,-1.6,-1.8,-1.6,-1.93,-1.91,-1.8,-1.85,-1.9,-1.81
19810215,0,0,3.9,0,3.6,0,0,0,0,1,0,0,0,0,7.4,4,1.8,0,0,6,0,0,6.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
19810216,3,27,14.1,21,43.9,6,0,59,0,12,43.2,51.5,37.1,20,13,5,0,20.4,21,0,0,1,0,1,3,1,7,0,3,3,0,16,0,0,0,0,0,0,11,6,0,14,3,0,4,4,3,17.4,4.9,0,0,1,0,0,0,38.4,19,12,36,0,14,55,55,46
19810217,0,4,0,9,1.3,0,5,0,0,24,0.3,0.5,0.2,0,0.2,9,0,0.5,0,0,0,0,0,0,1,19,8,0,0,4,8,4,10,27,14,14,35,35,0,0,0,5,0,0,5,34,3,10.3,10.8,4,0,47,26,46,26,2,0,24,1,0,3,2,2,5
19810218,22,19,5.8,18,22.1,0,0,9,32,10,0,7.8,31.4,6,5.9,19,6.1,6.9,3,3,0,0,3.1,21,3,6,0,2,22,0,0,0,17,5,1,1,10,10,0,4,1,7,13,0,1,1,0,1.1,1.3,1,0,3,6,0,1,0,5,6,5,3,5,10,7,9
19810219,6,5,4.2,1,0,0,9,0,0,7,0,0,3.4,0,7.7,9,6.8,0,2,0,0,0,0,3,26,9,1,4,6,0,0,23,7,0,0,0,10,10,0,2,14,4,12,0,14,0,6,4.8,7.1,12,7,2,0,0,0,0,1,0,0,0,0,0,0,0
19810220,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11.6,0.9,8,0,2.8,0,0,7,0,4,0,16,5,0,0,0,3,0,0,0,13,13,16,8,0,0,0,0,0,0,0,0,5,7,7,0,0,3,6,0,1,0,0,0,0,0,0,0
19810221,0,8,3.6,7,12.1,0,0,0,0,1,0.5,4.4,1.2,15,0,0,13,15.1,13,0,0,3,0,0,8,1,0,0,0,6,3,6,2,0,0,0,0,0,0,3,1,0,4,0,1,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,8,3,1,1,2
19810222,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0.5,0,0,0,0,23.5,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19810223,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19810224,0,0,0.3,1,0,0,0,0,0,0,0,0,4.5,11,0,1,0,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4,4,0,0,0,0,6,0,13,0,5,8,0,3.3,5.3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
